customer_id,first_name,last_name,gender,date_of_birth,province,city,customer_since
C00306,Elna,Ndlovu,M,1957-04-27,Gauteng,Pretoria,2018-03-06
C00194,Sipho,Nkosi,F,1983-10-30,Western Cape,Stellenbosch,2025-11-24
C00066,Elna,Khumalo,M,1966-04-13,Gauteng,Centurion,2019-03-19
C00350,Tumi,Fourie,M,2002-12-26,Western Cape,,2024-11-27
C00152,Emma,Zulu,M,1976-06-16,Western Cape,Cape Town,2019-02-05
C00434,Johan,Sithole,M,2000-04-09,Limpopo,Tzaneen,2026-01-12
C00162,Mandla,Kruger,M,1993-04-14,Gauteng,Sandton,2021-05-10
C00130,Zanele,Botha,M,1971-02-03,KwaZulu-Natal,Durban,2026-03-30
C00270,Zanele,Smit,M,2003-11-19,Eastern Cape,East London,2024-04-21
C00227,Chris,Nkosi,M,1993-12-05,Eastern Cape,Mthatha,2024-07-18
C00108,Naledi,Ndlovu,F,1962-07-12,Gauteng,Pretoria,2022-08-21
C00223,Nomvula,Le Roux,F,1964-06-08,Gauteng,Soweto,2020-07-04
C00182,Karen,Zulu,F,1989-10-09,Gauteng,Centurion,2021-03-09
C00276,Kabelo,Nkosi,M,2002-01-01,Free State,Welkom,2022-04-26
C00278,Susan,Naidoo,M,1966-07-09,Western Cape,Paarl,2025-08-23
C00263,Ruth,Dlamini,M,1993-03-15,Western Cape,Stellenbosch,2025-04-28
C00326,Werner,Botha,F,2003-08-31,KwaZulu-Natal,Pietermaritzburg,2021-05-01
C00185,Emma,Dlamini,F,1976-11-18,KwaZulu-Natal,Richards Bay,2019-03-31
C00177,Nomvula,Sithole,M,1976-12-28,Limpopo,Polokwane,2019-05-02
C00155,Sanele,Van der Merwe,M,1955-03-29,Northern Cape,Upington,2024-02-28
C00158,Pieter,Nkosi,F,1983-10-29,Eastern Cape,Gqeberha,2022-09-03
C00447,Michael,Mokoena,M,2000-12-26,Gauteng,Pretoria,2019-03-09
C00115,Vusi,Mahlangu,F,1968-10-31,Western Cape,George,2018-06-04
C00325,Bongani,Mbeki,M,2000-04-14,Gauteng,Soweto,2018-02-21
C00193,Precious,Sithole,M,1996-03-02,Western Cape,Paarl,2019-11-14
C00337,Tumi,Mokoena,F,1956-09-21,Gauteng,Sandton,2024-10-30
C00008,Susan,Kruger,M,1958-02-16,Limpopo,Polokwane,2020-05-17
C00459,Mandla,Molefe,M,1966-07-12,Western Cape,Cape Town,2024-06-04
C00283,David,Mahlangu,M,1967-04-13,KwaZulu-Natal,Pietermaritzburg,2024-10-18
